source_id,url,http_status,effective_url,fallback_url,fallback_http_status,check_status,checked_at,notes
src_del_ch_overview,https://find-and-update.company-information.service.gov.uk/company/07271800,200,https://find-and-update.company-information.service.gov.uk/company/07271800,,,pass,2026-07-18,Source responded successfully.
src_del_history,https://www.deloitte.com/ua/en/about/story/about-deloitte-ukraine.html,200,https://www.deloitte.com/ua/en/about/story/about-deloitte-ukraine.html,,,pass,2026-07-18,Source responded successfully.
src_del_metrics_2014,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/gx-gr14-performance-table.pdf,404,https://www.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/gx-gr14-performance-table.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2014.pdf,206,warning,2026-07-18,Primary URL is permanently unavailable; the recorded archive responded successfully.
src_del_metrics_2015,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/gx-gr15-performance-table-sept.pdf,404,https://www.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/gx-gr15-performance-table-sept.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2015.pdf,206,warning,2026-07-18,Primary URL is permanently unavailable; the recorded archive responded successfully.
src_del_metrics_2017,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/Deloitte-2017-Global-Impact-Report-Performance-table.pdf,404,https://www.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/Deloitte-2017-Global-Impact-Report-Performance-table.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2017.pdf,206,warning,2026-07-18,Primary URL is permanently unavailable; the recorded archive responded successfully.
src_del_metrics_2019,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/2019-global-impact-report-performance-metrics.pdf,404,https://www.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/2019-global-impact-report-performance-metrics.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2019.pdf,206,warning,2026-07-18,Primary URL is permanently unavailable; the recorded archive responded successfully.
src_del_metrics_2021,https://www.deloitte.com/content/dam/assets-shared/legacy/docs/about/2022/gx-performance-metrics.pdf,206,https://www.deloitte.com/content/dam/assets-shared/legacy/docs/about/2022/gx-performance-metrics.pdf,,,pass,2026-07-18,Source responded successfully.
src_del_metrics_2023,https://www.deloitte.com/content/dam/assets-shared/legacy/docs/gx-about-deloitte-global-report-full-version-2022.pdf,206,https://www.deloitte.com/content/dam/assets-shared/legacy/docs/gx-about-deloitte-global-report-full-version-2022.pdf,,,pass,2026-07-18,Source responded successfully.
src_del_metrics_2025,https://www.deloitte.com/content/dam/assets-shared/docs/about/gir/global-performance-metrics-reporting.pdf,206,https://www.deloitte.com/content/dam/assets-shared/docs/about/gir/global-performance-metrics-reporting.pdf,,,pass,2026-07-18,Source responded successfully.
src_del_network_structure,https://www.deloitte.com/global/en/about/governance/network-brand-alliances.html,200,https://www.deloitte.com/global/en/about/governance/network-brand-alliances.html,,,pass,2026-07-18,Source responded successfully.
src_del_offices_current,https://www.deloitte.com/global/en/offices.html?icid=bn_offices,200,https://www.deloitte.com/global/en/offices.html?icid=bn_offices,,,pass,2026-07-18,Source responded successfully.
src_del_release_2010,https://www.prnewswire.com/news-releases/deloitte-announces-aggregate-revenue-results-of-us266-billion-102755604.html,206,https://www.prnewswire.com/news-releases/deloitte-announces-aggregate-revenue-results-of-us266-billion-102755604.html,,,pass,2026-07-18,Source responded successfully.
src_del_release_2011,https://www.prnewswire.co.uk/news-releases/deloitte-continues-as-an-engine-of-employment-creation-and-announces-record-revenues-of-us288-billion-145030285.html,206,https://www.prnewswire.co.uk/news-releases/deloitte-continues-as-an-engine-of-employment-creation-and-announces-record-revenues-of-us288-billion-145030285.html,,,pass,2026-07-18,Source responded successfully.
src_del_release_2025,https://www.deloitte.com/global/en/about/press-room/global-revenue-announcement.html,200,https://www.deloitte.com/global/en/about/press-room/global-revenue-announcement.html,,,pass,2026-07-18,Source responded successfully.
src_ey_companies_house_current,https://find-and-update.company-information.service.gov.uk/company/04328808,200,https://find-and-update.company-information.service.gov.uk/company/04328808,,,pass,2026-07-18,Source responded successfully.
src_ey_fy11_archive,http://www.ey.com/Publication/vwLUAssetsPI/Global_review_2011/$FILE/Ernst_&_Young_Global_Review_2011.pdf,404,https://www.ey.com/Publication/vwLUAssetsPI/Global_review_2011/$FILE/Ernst_&_Young_Global_Review_2011.pdf,https://web.archive.org/web/20121003014524id_/http://www.ey.com/Publication/vwLUAssetsPI/Global_review_2011/$FILE/Ernst_&_Young_Global_Review_2011.pdf,206,warning,2026-07-18,Primary URL is permanently unavailable; the recorded archive responded successfully.
src_ey_fy12_archive,http://www.ey.com/GL/en/About-us/Our-global-approach/Global-review/Global-review-2012---Facts-and-figures,404,https://www.ey.com/GL/en/About-us/Our-global-approach/Global-review/Global-review-2012---Facts-and-figures,https://web.archive.org/web/20130327160938id_/http://www.ey.com/GL/en/About-us/Our-global-approach/Global-review/Global-review-2012---Facts-and-figures,302,warning,2026-07-18,Primary URL is permanently unavailable; the recorded archive responded successfully.
