entity_id,entity_name_canonical,entity_name_original,entity_type,parent_entity_id,big_four_network,member_firm_name,legal_name,former_names,jurisdiction,country_iso2,country_iso3,legal_form,registration_number,lei,cik,website,active_from,active_to,status,notes,source_id
ent_kpmg_global,KPMG global organization,KPMG global organization,global_network,,KPMG,,KPMG International Limited,KPMG International Cooperative,England and Wales,GB,GBR,Private company limited by guarantee,12474966,,,https://kpmg.com,2020-02-24,,active,"Coordinated by KPMG International Limited; member firms are separate legal entities and KPMG International provides no client services.",src_kpmg_governance
ent_kpmg_intl_ltd,KPMG International Limited,KPMG International Limited,coordinating_entity,ent_kpmg_global,KPMG,,KPMG International Limited,KPMG International Cooperative,England and Wales,GB,GBR,Private company limited by guarantee,12474966,,,https://kpmg.com/xx/en/misc/governance.html,2020-02-24,,active,"Registered office: 15 Canada Square, London, E14 5GL.",src_kpmg_governance
